message|labeller_id|label
🔴 Un grupo de inmigrantes de botellón y sin mascarilla hacen caso omiso de las indicaciones de la policía local en Badiá del Vallés, que intentaba desalojarlos. CasosAislados|1|non-racist
🔴El número de inmigrantes que llega a las islas crece un 520% en lo que va de año. Dale a esto 10 años más.|1|non-racist
Intento de motín con cuchillos y tijeras en un centro de 'menas' en Gran Canaria|1|non-racist
Detenidos cuatro menas por la brutal paliza a un joven en el distrito madrileño de San Blas|1|racist
🛑 Menores inmigrantes asaltan fincas y viviendas en El Salobre en San Bartolomé de Tirajana, Gran Canaria. Los canarios ya tienen su Lampedusa.|1|racist
El efecto llamada de Sánchez: las costas de Canarias reciben una media de 147 menas al mes|1|racist
❌ No, estas fotos no son de la manifestación del 1 de agosto en Berlín contra las medidas de Alemania para frenar el coronavirus: son protestas antirracistas llevadas a cabo en junio 👇|1|non-racist
Presión extrema de Sánchez a Andalucía: la comunidad soporta un 40% de los menas acogidos en España|1|racist
🔪 ➡️ Durante una transmisión en vivo de BFMTV desde la escena del crimen, puedes escuchar a la gente en los alrededores gritando y riendo. 📌 El ataque ocurrió en una pequeña ciudad en la periferia de París y está compuesta por una gran parte de musulmanes.|1|non-racist
Carmen Calvo llama xenófoba a la Junta de Andalucía por rechazar los traslados ocultos de inmigrantes|1|non-racist
📲 La identidad digital, el pseudonimato, la libertad de expresión y derecho de la información en el entorno digital: las novedades de la Carta de Derechos Digitales. #DíaEuropeoDeLaProtecciónDeDatos #DíaProtecciónDeDatos|1|non-racist
Las declaraciones a las que hace mención el abogado boliviano son las realizadas en el programa Estado de Alarma, bloqueado en repetidas ocasiones por youtube por mensajes de odio y noticias falsas. Escuchen, es totalmente intolerable|1|non-racist
España obligará a guardar una cuarentena de 14 días a los viajeros internacionales a partir del 15 de mayo vía @eldiarioes|1|non-racist
Quizás sea la primera vez en la historia que un partido político borra de su web su programa electoral por vergüenza ajena. VOX lo ha hecho tras hacer el ridículo, pero siempre tendremos WayBackMachine, desde aquí podéis ver que ayer estaba publicado.|1|non-racist
📍ARRECIFE (Canarias). ➡️560 inmigrantes llegan desde la noche del jueves. 🤬Vienen a integrarse y desde el primer día andan buscando trabajo 🤬 ‼️Esta situación es sumamente INSOPORTABLE‼️ #StopInmigraciónIlegal #LaÑEstáEnPeligro #LevantandoEspaña|1|racist
"""Tuve que recurrir a pedir comida que otras familias del barrio donaban porque mi situación era insostenible"", cuenta Ricardo, que estuvo meses esperando cobrar el ERTE. Así es vivir a la espera de recibir una ayuda estatal en plena pandemia:"|1|non-racist
Cuándo volveremos a una #sanidadparatodos #sanidaduniversal? Seguiremos luchando para conseguir que todos y todas tengamos acceso a unos derechos minimos!!!!|1|non-racist
La aplicación #RadarCOVID registra medio millón de descargas en dispositivos con sistema Android. En Newtral analizamos las luces y sombras de la app de rastreo de #Covid_19 en España.|1|non-racist
Muchas de estas cuentas tienen 0 seguidores y algunas aún no les dio tiempo ni a ponerle una imagen, ya que son creadas hace menos de una semana.|1|non-racist
🇲🇾 El ex primer ministro de Malasia afirma que «los musulmanes tienen derecho a matar franceses»|1|non-racist
